video,frame,timestamp,x_cm,y_cm,robot_yaw,interpolated
Camo 录像 2026-01-29 00-19-03,0,0.0,50.0,61.0,90.0,0
Camo 录像 2026-01-29 00-19-03,1,0.03333333333333333,49.97785,60.991516,89.84000000000003,0
Camo 录像 2026-01-29 00-19-03,2,0.06666666666666667,49.984375,61.003357,89.63999999999999,0
Camo 录像 2026-01-29 00-19-03,3,0.1,50.039852,61.024364,90.44999999999999,0
Camo 录像 2026-01-29 00-19-03,4,0.13333333333333333,50.10716,61.016823,91.56,0
Camo 录像 2026-01-29 00-19-03,5,0.16666666666666666,50.2856,61.009453,93.64999999999998,0
Camo 录像 2026-01-29 00-19-03,6,0.2,50.631157,61.00189,96.92000000000002,0
Camo 录像 2026-01-29 00-19-03,7,0.23333333333333334,51.142326,60.961117,100.32,0
Camo 录像 2026-01-29 00-19-03,8,0.26666666666666666,51.72234,60.818222,105.19,0
Camo 录像 2026-01-29 00-19-03,9,0.3,52.32668,60.552845,111.07,0
Camo 录像 2026-01-29 00-19-03,10,0.3333333333333333,53.068874,60.23004,116.32999999999998,0
Camo 录像 2026-01-29 00-19-03,11,0.36666666666666664,53.80952,59.77577,123.00999999999999,0
Camo 录像 2026-01-29 00-19-03,12,0.4,54.48968,59.255993,128.39,0
Camo 录像 2026-01-29 00-19-03,13,0.43333333333333335,55.136974,58.591667,133.89999999999998,0
Camo 录像 2026-01-29 00-19-03,14,0.4666666666666667,55.692844,57.86305,139.76,0
Camo 录像 2026-01-29 00-19-03,15,0.5,56.1554,57.13695,144.51,0
Camo 录像 2026-01-29 00-19-03,16,0.5333333333333333,56.49098,56.35463,147.84000000000003,0
Camo 录像 2026-01-29 00-19-03,17,0.5666666666666667,56.70122,55.603745,151.14999999999998,0
Camo 录像 2026-01-29 00-19-03,18,0.6,56.809444,54.888546,154.06,0
Camo 录像 2026-01-29 00-19-03,19,0.6333333333333333,56.76926,54.20831,154.88,0
Camo 录像 2026-01-29 00-19-03,20,0.6666666666666666,56.655888,53.607254,154.81,0
Camo 录像 2026-01-29 00-19-03,21,0.7,56.46892,53.16946,154.09000000000003,0
Camo 录像 2026-01-29 00-19-03,22,0.7333333333333333,56.149525,52.84413,151.97000000000003,0
