frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
0,0.0000,1,-0.070292,-0.025002,1.264020,-4.70,0.38,-1.84,1780.49,1011.86,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
1,0.0333,1,-0.070419,-0.025047,1.267182,-1.19,-0.05,-1.71,1780.60,1011.94,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
2,0.0667,1,-0.070409,-0.025031,1.266882,-0.37,0.82,-1.68,1780.59,1011.96,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
3,0.1000,1,-0.070391,-0.025031,1.266651,-0.81,0.76,-1.69,1780.60,1011.95,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
4,0.1333,1,-0.070391,-0.025031,1.266665,-0.83,0.75,-1.70,1780.60,1011.95,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
5,0.1666,1,-0.070336,-0.025088,1.265642,-2.07,0.25,-1.74,1780.60,1011.79,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
6,0.2000,1,-0.070332,-0.025122,1.265571,-2.94,-0.51,-1.78,1780.59,1011.71,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
7,0.2333,1,-0.070272,-0.025129,1.264212,-2.64,1.43,-1.79,1780.56,1011.64,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
8,0.2666,1,-0.070241,-0.025161,1.263162,-3.75,1.53,-1.85,1780.50,1011.52,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
9,0.2999,1,-0.070183,-0.025214,1.262248,-2.28,3.04,-1.83,1780.51,1011.39,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
