# Swimming Robot Data Log
# Amplitude: 30 deg
# Frequency: 0.5 Hz
# Duration: 4 s
# Timestamp: 2026-01-26T00:24:20.911648

time_s,target_1,actual_1,target_2,actual_2,target_3,actual_3,target_4,actual_4,target_5,actual_5,sample_rate_hz
0.0140,-0.01,0.02,-0.02,-0.01,-0.01,0.01,0.01,0.05,0.02,-0.03,129.6
0.0380,-0.09,-0.03,-0.13,-0.01,-0.07,0.01,0.03,0.05,0.11,0.02,129.6
0.0620,-0.21,-0.07,-0.33,-0.15,-0.21,-0.03,0.06,0.09,0.29,0.06,129.6
0.0870,-0.37,-0.20,-0.64,-0.37,-0.45,-0.16,0.07,0.09,0.53,0.19,129.6
0.1110,-0.52,-0.38,-1.01,-0.67,-0.77,-0.43,0.03,0.09,0.81,0.46,129.6
0.1350,-0.66,-0.51,-1.45,-1.03,-1.19,-0.78,-0.07,0.05,1.10,0.72,129.6
0.1600,-0.76,-0.64,-1.96,-1.42,-1.74,-1.13,-0.26,-0.04,1.41,1.03,129.6
0.1840,-0.79,-0.73,-2.47,-1.91,-2.36,-1.66,-0.53,-0.22,1.68,1.34,129.6
0.2080,-0.75,-0.73,-3.00,-2.39,-3.07,-2.23,-0.92,-0.48,1.90,1.60,129.6
0.2320,-0.62,-0.73,-3.51,-2.92,-3.86,-2.93,-1.41,-0.88,2.06,1.91,129.6
0.2570,-0.36,-0.60,-4.01,-3.45,-4.76,-3.73,-2.06,-1.32,2.14,2.09,129.6
0.2810,0.02,-0.33,-4.44,-3.89,-5.68,-4.52,-2.80,-1.89,2.11,2.13,129.6
0.3050,0.52,0.06,-4.79,-4.28,-6.63,-5.35,-3.66,-2.59,1.96,2.09,129.6
0.3290,1.17,0.59,-5.05,-4.59,-7.60,-6.28,-4.64,-3.43,1.68,1.95,129.6
0.3530,1.95,1.25,-5.19,-4.77,-8.57,-7.25,-5.73,-4.35,1.26,1.73,129.6
0.3780,2.91,2.00,-5.20,-4.94,-9.55,-8.26,-6.97,-5.45,0.66,1.38,129.6
0.4020,3.98,2.92,-5.07,-4.99,-10.45,-9.27,-8.25,-6.68,-0.07,0.85,129.6
