video,frame,timestamp,x_cm,y_cm,robot_yaw,interpolated
Camo 录像 2026-01-27 01-08-33,0,0.0,61.0,61.0,90.0,0.0
Camo 录像 2026-01-27 01-08-33,1,0.03333333333333333,60.98065,61.07122,90.06,0.0
Camo 录像 2026-01-27 01-08-33,2,0.06666666666666667,60.944557,61.136177,89.25,0.0
Camo 录像 2026-01-27 01-08-33,3,0.1,60.86618,61.209145,88.70999999999998,0.0
Camo 录像 2026-01-27 01-08-33,4,0.13333333333333333,60.769646,61.286552,87.97000000000003,0.0
Camo 录像 2026-01-27 01-08-33,5,0.16666666666666666,60.652916,61.350037,87.27999999999997,0.0
Camo 录像 2026-01-27 01-08-33,6,0.2,60.460968,61.404167,86.13,0.0
Camo 录像 2026-01-27 01-08-33,7,0.23333333333333334,60.21642,61.425682,84.72000000000003,0.0
Camo 录像 2026-01-27 01-08-33,8,0.26666666666666666,59.921005,61.431404,84.19,0.0
Camo 录像 2026-01-27 01-08-33,9,0.3,59.60764,61.413445,83.34000000000003,0.0
Camo 录像 2026-01-27 01-08-33,10,0.3333333333333333,59.29119,61.366898,82.38999999999999,0.0
Camo 录像 2026-01-27 01-08-33,11,0.36666666666666664,58.97642,61.288216,82.25,0.0
Camo 录像 2026-01-27 01-08-33,12,0.4,58.703495,61.205544,82.57999999999998,0.0
Camo 录像 2026-01-27 01-08-33,13,0.43333333333333335,58.48167,61.106728,83.49000000000001,0.0
Camo 录像 2026-01-27 01-08-33,14,0.4666666666666667,58.295887,61.02272,84.74000000000001,0.0
Camo 录像 2026-01-27 01-08-33,15,0.5,58.186604,60.94056,86.38,0.0
Camo 录像 2026-01-27 01-08-33,16,0.5333333333333333,58.145744,60.89437,88.75999999999999,0.0
Camo 录像 2026-01-27 01-08-33,17,0.5666666666666667,58.20815,60.879883,92.63999999999999,0.0
Camo 录像 2026-01-27 01-08-33,18,0.6,58.33712,60.94484,96.20999999999998,0.0
Camo 录像 2026-01-27 01-08-33,19,0.6333333333333333,58.473694,61.08438,99.60000000000002,0.0
Camo 录像 2026-01-27 01-08-33,20,0.6666666666666666,58.793156,61.36892,103.94,0.0
Camo 录像 2026-01-27 01-08-33,21,0.7,59.185184,61.775963,109.31,0.0
Camo 录像 2026-01-27 01-08-33,22,0.7333333333333333,59.72005,62.20301,114.89999999999998,0.0
Camo 录像 2026-01-27 01-08-33,23,0.7666666666666667,60.32125,62.63584,120.30000000000001,0.0
Camo 录像 2026-01-27 01-08-33,24,0.8,60.9723,63.061928,125.75,0.0
Camo 录像 2026-01-27 01-08-33,25,0.8333333333333334,61.62533,63.463226,129.73000000000002,0.0
Camo 录像 2026-01-27 01-08-33,26,0.8666666666666667,62.32008,63.814384,133.81,0.0
Camo 录像 2026-01-27 01-08-33,27,0.9,63.004696,64.16392,137.01,0.0
Camo 录像 2026-01-27 01-08-33,28,0.9333333333333333,63.696968,64.50191,139.54000000000002,0.0
Camo 录像 2026-01-27 01-08-33,29,0.9666666666666667,64.3689,64.82527,141.23000000000002,0.0
Camo 录像 2026-01-27 01-08-33,30,1.0,64.99328,65.117516,142.38,0.0
Camo 录像 2026-01-27 01-08-33,31,1.0333333333333334,65.61537,65.480194,142.54000000000002,0.0
Camo 录像 2026-01-27 01-08-33,32,1.0666666666666667,66.125595,65.73516,142.57999999999998,0.0
Camo 录像 2026-01-27 01-08-33,33,1.1,66.69005,66.04024,142.07,0.0
